,,,,,,,,,,,JavaC
560e9849959018f6a3fe210a24e78723d190541d,c++,java,,,,,,,TRUE,TRUE,TRUE
1d6a10f52db468888eee8b3cca5ed1e50a27b92f,python,c++,,,,,,,TRUE,FALSE,FALSE
044a71e27eff077a29c79e3000fa3692fca92160,c++,java,,,,,,,TRUE,TRUE,TRUE
5c30e6c088d1671373c22aff48c110eb58736258,yaml,c++,,,,,,,TRUE,FALSE,FALSE
687119aeaf3799e599976330cfe673a8c4a81511,c++,python,,,,,,,TRUE,FALSE,FALSE
f7bb1a0060cfaeefefac9a32734956653ea7e35c,c++,c,,,,,,,TRUE,FALSE,FALSE
ef7815b803fe8a264466b92f20f04e03f1f45972,c++,java,,,,,,,TRUE,TRUE,TRUE
bb474e9a02abfe9c97b193a27c846de9fbdb4389,java,c++,,,,,,,TRUE,TRUE,TRUE
77a8d4d476fec09d14cdf6ccd6eab60c13f2f61e,python,c++,,,,,,,TRUE,FALSE,FALSE
eb912a927ec0858ac53d0706ffb23dab0a9a4585,c++,java,python,,,,,,TRUE,TRUE,TRUE
4daea66343aaa3c9e952abf18649e1cf00e8a69c,c,c++,,,,,,,TRUE,FALSE,FALSE
0920bf4e684cde9747470faf5adae872d176ba21,c++,java,,,,,,,TRUE,TRUE,TRUE
d8a27d9331416680bc5c239652de49a6a3b7b9f5,python,c++,,,,,,,TRUE,FALSE,FALSE
11ce6a060e0e4d742c75985ed1405a41f9a814b0,c++,python,,,,,,,TRUE,FALSE,FALSE
b8eb32f8cf5041087146b7b8ee85ec8fa34dd857,python,c++,,,,,,,TRUE,FALSE,FALSE
e937d471801b3a9237a0b19cb3f4af43c20ed9a9,python,c++,,,,,,,TRUE,FALSE,FALSE
fdbff42391212155243aa91eea2f9b9faa3646b6,python,c++,,,,,,,TRUE,FALSE,FALSE
46152d53bf58748fc3ed0681d8970c342bcfc47a,c++,python,,,,,,,TRUE,FALSE,FALSE
38e1d7fea348f9d416736af9cf2b766989edcf51,c++,python,,,,,,,TRUE,FALSE,FALSE
b1a3b4c0d0916383b045e87aa8207b6773f81d03,c++,python,,,,,,,TRUE,FALSE,FALSE
7a31960ee94bfa41b73889104fa2e36adb704857,python,c++,,,,,,,TRUE,FALSE,FALSE
1e4375d2ef9285eb65802d9a490d710983347f4a,python,c++,,,,,,,TRUE,FALSE,FALSE
de7f423a82363b667e5bf5c714277135d2f79f39,c++,python,,,,,,,TRUE,FALSE,FALSE
3fa9a39c68e0f75298236589b3a0119d595862eb,c++,python,,,,,,,TRUE,FALSE,FALSE
8a48410f09d7933369d5bcfaddeaa733bd1d04d0,python,c++,,,,,,,TRUE,FALSE,FALSE
4b66d95344fb16dbbeca154a1605bea55dd8c23c,c++,python,,,,,,,TRUE,FALSE,FALSE
f89dea4fec99b582626bf210f938e653e20d4dc7,c++,python,,,,,,,TRUE,FALSE,FALSE
21f4bb5a89756cf44615745b7d0638983005fa4a,cmake,c++,,,,,,,TRUE,FALSE,FALSE
8fc20ac468b266a53083175025375985ec04b796,yaml,c++,,,,,,,TRUE,FALSE,FALSE
d150e01474a0cb281792f51b81260b629b18457f,yaml,c++,,,,,,,TRUE,FALSE,FALSE
57f30322855b6ed38296ec0f4c6fb03b095fe0b3,c++,java,,,,,,,TRUE,TRUE,TRUE
e3a82bb9345220c85894aaa67ccf95bd9eadd4a2,python,c++,,,,,,,TRUE,FALSE,FALSE
8ad0fcdf99003caa07cd6aaeba0347e1a92da622,yaml,c++,,,,,,,TRUE,FALSE,FALSE
e2972803a602cccb743d1aa1343f163a77f33198,c++,java,,,,,,,TRUE,TRUE,TRUE
2ac988c67ec30612e2943a7259ce092e25944d79,c++,java,,,,,,,TRUE,TRUE,TRUE
a143ef9b38f3f7b5dfdc6aa286a5b7671b69fb88,c++,html,java,,,,,,TRUE,TRUE,TRUE
34112aeffde7f8d63450c0647f16382c2f6b8836,c++,c,,,,,,,TRUE,FALSE,FALSE
38dc5ef45fa7720557903c5852d99a5d3f597a6a,c++,c,,,,,,,TRUE,FALSE,FALSE
41ccae6d264afafd6c1604f8f36bc8d32b87f9d6,c++,c,,,,,,,TRUE,FALSE,FALSE
cb9392a0940cab31f690a1dfc0ceec2d6a97159a,c++,c,,,,,,,TRUE,FALSE,FALSE
e43d2c44244e685f7a1b1a163506b911eb1c49f4,c++,c,,,,,,,TRUE,FALSE,FALSE
b06b19136201356efc516e9a773243059a4d0ff5,c++,c,,,,,,,TRUE,FALSE,FALSE
5dc174e11a11f86428c9bbf36ab5ccb29baa49f1,c++,c,,,,,,,TRUE,FALSE,FALSE
1ca723dbd17a6ae04e133ec3bbd12823c1befbf3,c++,c,,,,,,,TRUE,FALSE,FALSE
16fb04434fede6ee368622dfa817b6cc2830833b,c++,c,,,,,,,TRUE,FALSE,FALSE
c1f588af71133483330564c058765e2503caa0fb,c++,c,,,,,,,TRUE,FALSE,FALSE
0bd2ede10e97944798449e0f954658fac8bfdbd2,c++,c,,,,,,,TRUE,FALSE,FALSE
7e50ed8c24a9ee8cb4ec5384b31865144679e13c,c++,c,,,,,,,TRUE,FALSE,FALSE
384400128f6eb9f1111f41efd9712c6879411cfc,c++,c,,,,,,,TRUE,FALSE,FALSE
1a34aaaef0900785c2de7e55b55d8c48d1201300,c++,c,,,,,,,TRUE,FALSE,FALSE
879f3663663e538390d0d835919aa73115892e75,c++,c,,,,,,,TRUE,FALSE,FALSE
86e2a1eeea07917923318c5d7ed95b6aafe652bb,c++,c,,,,,,,TRUE,FALSE,FALSE
a10e8a056d569acf6a52045124e6414ad33bdfcd,c++,c,,,,,,,TRUE,FALSE,FALSE
d0c38c0c8c33488975465c9095d332dc1c0c7900,c++,python,,,,,,,TRUE,FALSE,FALSE
04d58970cb5e5fbffafa2ccfee42fc479cdd48f0,c++,java,,,,,,,TRUE,TRUE,TRUE
9b51987521bd7256db06a194863963457ed92648,c++,java,,,,,,,TRUE,TRUE,TRUE
c06b54d0c6fb8c46ee98744544b003ff4f87c269,c++,java,,,,,,,TRUE,TRUE,TRUE
e612e317409e8a9d74cf05db0bd733403305f459,c++,c,assembly,,,,,,TRUE,FALSE,FALSE
cda4006e8724c9960ddd07e833371dd8f07c9886,c++,c,,,,,,,TRUE,FALSE,FALSE
338c149b92c370288ecb9beef997229119d9fcd2,c++,python,,,,,,,TRUE,FALSE,FALSE
bcc372c0c3c11fdfd11ef8d6cab33f88e472f5c7,c++,python,,,,,,,TRUE,FALSE,FALSE
68a8e6b8fa67df745221e23ea5af12393f35ce77,c++,python,,,,,,,TRUE,FALSE,FALSE
c6d464a9da7291e776b5a017f0a5d33d61f2518b,java,c++,,,,,,,TRUE,TRUE,TRUE
0ee7f040392de849dbc40c0bd20e1b7e681ef658,java,c++,,,,,,,TRUE,TRUE,TRUE
cfee7fb51a41a8af5d46679b0702b3c5654f644b,c++,java,,,,,,,TRUE,TRUE,TRUE
ce21afd205eca21fb75d0d3503d98d0d22f8b8ab,c++,java,,,,,,,TRUE,TRUE,TRUE
e4234fbdcf2b7adcf539a8e0fb3988dcfc0a5528,c++,java,,,,,,,TRUE,TRUE,TRUE
825a22c00c4798befa75560e672d6b1d5933edbc,c++,java,,,,,,,TRUE,TRUE,TRUE
fcc2dfd9f9fb07a4134d9ddb0961dc21707a678f,java,c++,,,,,,,TRUE,TRUE,TRUE
c7cf981a8565d0cb9278fa4c142cd3b5c44652df,c++,java,,,,,,,TRUE,TRUE,TRUE
0d65315cb14584aada933658674d7cfbd83ea912,c++,java,,,,,,,TRUE,TRUE,TRUE
7242dae7fe5818eed1cc655c4444d54173c5ca8c,java,c++,,,,,,,TRUE,TRUE,TRUE
d6fe8dacc8c7121ab33e910c1589c1a1a449fc68,java,c++,,,,,,,TRUE,TRUE,TRUE
e72b02e3c26cf154e7b5ee3110befd17aa03bef1,java,c++,,,,,,,TRUE,TRUE,TRUE
7260662b399d8d70c658261c8c6b595889b864a3,c++,java,,,,,,,TRUE,TRUE,TRUE
bafbc23baa6a1bd2aac6575d66a89379278b815a,java,c++,,,,,,,TRUE,TRUE,TRUE
88c818e4375a22ac3bd61c15e63c81318d158e47,c++,java,,,,,,,TRUE,TRUE,TRUE
dc28a726c19552f4155bd85e26e159b54d473c44,java,c++,,,,,,,TRUE,TRUE,TRUE
de678b288e36d0403d76d278fac9f6c97d08c44c,java,c++,,,,,,,TRUE,TRUE,TRUE
e412a426d6ce019fb12f094f64e7f105d227201d,c++,java,,,,,,,TRUE,TRUE,TRUE
1d6c1e018fe5e7048af92433094716bd00b8c61a,java,c++,,,,,,,TRUE,TRUE,TRUE
57f2a00c6fc1e5f8b1d1faa8eaa35bc742388daa,c++,java,,,,,,,TRUE,TRUE,TRUE
a3bd4142f2074ecac4856ece3105092cbe4e9da1,c++,java,,,,,,,TRUE,TRUE,TRUE
814627af3d7b3af80887b9b3f1dd4d98d6cf40f4,c++,java,,,,,,,TRUE,TRUE,TRUE
c9048021ad6fac842ab4d4eb66a9522a9ed1a543,c++,java,,,,,,,TRUE,TRUE,TRUE
9aa9668a83cfebe865212a5468cc747fc800872c,java,c++,,,,,,,TRUE,TRUE,TRUE
ef8b8a8ef601fb5cfb2d9d7228e565ced0e5fccf,java,c++,,,,,,,TRUE,TRUE,TRUE
5615e23d8c5fb3a653b98dcc76ff0ab80a585d3a,c++,java,,,,,,,TRUE,TRUE,TRUE
9c207971369f28cc28ab27cd9281b1d33e06593e,c++,java,,,,,,,TRUE,TRUE,TRUE
f6156fb558441387b398b00f8244a50e92e875ef,c++,java,,,,,,,TRUE,TRUE,TRUE
c5302a8a58434b423d8f26b29ee922bc64a19185,c++,java,,,,,,,TRUE,TRUE,TRUE
a247617e6f316dbdd7273d8ee67e24c42ba04fec,c++,java,,,,,,,TRUE,TRUE,TRUE
44fa8ece9bfac08780d51c7157bf2f5152343be3,c++,java,,,,,,,TRUE,TRUE,TRUE
2b16d664cbb15064c9a8c854b9ed6e5c682710a6,c++,java,,,,,,,TRUE,TRUE,TRUE
8c4a3bfa5ba4025d5772e7b87a44f85ce5ebe309,java,c++,,,,,,,TRUE,TRUE,TRUE
ebdfe34cc4ed2ab2b87d4eccefdd98f9ac38caf5,c++,java,,,,,,,TRUE,TRUE,TRUE
05979493d6d96fdc48628bbcc741c5885b95124a,java,c++,,,,,,,TRUE,TRUE,TRUE
18eb563058f19856a2723f4cbe867aee7959cc6c,c++,java,,,,,,,TRUE,TRUE,TRUE
a4d9aa6b18e20fc6499e0ca73ee0342a8fc5fe95,c++,java,,,,,,,TRUE,TRUE,TRUE
000bf0af380e2d35974fa9c04599d34306831330,c++,java,,,,,,,TRUE,TRUE,TRUE
3fc08fa88e8608078cc013251509c7d79a14dd79,java,c++,,,,,,,TRUE,TRUE,TRUE
f0b5bcc7b5ff5b69a912d16605d4940138e282c5,c++,java,,,,,,,TRUE,TRUE,TRUE
39464a990ff8bdc9a8560469641dec04c13eefe7,java,c++,,,,,,,TRUE,TRUE,TRUE
f4d986364e0366c07a78fc87f27ddd3a205649f2,c++,java,,,,,,,TRUE,TRUE,TRUE
4f5a6872541ec1aaf04e1b6f34ce2b774fa2e83e,java,c++,,,,,,,TRUE,TRUE,TRUE
6ecd26af278295257cce4a847928feaba13a8bd2,c++,java,,,,,,,TRUE,TRUE,TRUE
22d45de2ed4f24339271154bbca0d9f90421be53,java,c++,,,,,,,TRUE,TRUE,TRUE
9b2a0939cf45afea9c83bdbf9d6ce6f4bf18c59d,java,c++,,,,,,,TRUE,TRUE,TRUE
628e39e97df75554720063cb43c2bddce99bfec4,java,c++,,,,,,,TRUE,TRUE,TRUE
fc6fcbab9ef40af4167cac4240452fe19721aa27,java,c++,,,,,,,TRUE,TRUE,TRUE
8796934af7e50e0e5c1cfeb66f6ec60846a551ec,c++,java,,,,,,,TRUE,TRUE,TRUE
51185592fd9d89381177d42e6448d046606beb1f,c++,java,,,,,,,TRUE,TRUE,TRUE
f45c0d20de1d083fc65cb446a67542f13c9f31cc,c++,java,,,,,,,TRUE,TRUE,TRUE
382277d0fe79ece86b799e3925919cf44c3afb4c,c++,java,,,,,,,TRUE,TRUE,TRUE
07cd3c42a270f14a7116a17a155c1e2a222209b8,java,c++,,,,,,,TRUE,TRUE,TRUE
b433bbefe9d9147f5964ed6c2d082e142d79c048,c++,java,,,,,,,TRUE,TRUE,TRUE
5cd28833a27cd3f978fe01d2268cb165cebdf483,c++,java,,,,,,,TRUE,TRUE,TRUE
004b89fba4fce19814129d710072083805854f77,c++,java,,,,,,,TRUE,TRUE,TRUE
32149059f910149197d1a0f79ac08cf19465ea2d,c++,java,,,,,,,TRUE,TRUE,TRUE
d8fe006056b9ea5b143ad30533d023149de88494,java,c++,,,,,,,TRUE,TRUE,TRUE
5249d0db50a1a629299404206ad9c50cc24eb3a6,java,c++,,,,,,,TRUE,TRUE,TRUE
972f96b3fbae1a4675043bdf4279c9072ad69645,c++,java,,,,,,,TRUE,TRUE,TRUE
e316af5f16151813574eebb5ff1e49cb91827142,java,c++,,,,,,,TRUE,TRUE,TRUE
20699df8438d14568915bb3a8e7038ce224f1e1c,c++,java,,,,,,,TRUE,TRUE,TRUE
8261e0026b63ecc118e180aff621a19cea45451d,c++,java,,,,,,,TRUE,TRUE,TRUE
63d74d2bfac888d6a09aa29b560b88bf8ca692a4,java,c++,,,,,,,TRUE,TRUE,TRUE
c8f3606731dcb8ddc3b6e2b1c8f33c62a5aad1ce,c++,java,,,,,,,TRUE,TRUE,TRUE
208556ee13306050f20cfddb4eac6cdcc2b1c850,java,c++,,,,,,,TRUE,TRUE,TRUE
e96e71becf44ca45a38fd0286ef39f78c9a4a777,java,c++,,,,,,,TRUE,TRUE,TRUE
d6dfe516ffd58775f38dadfeaf8a49ad7f237247,c/c++,java,,,,,,,TRUE,TRUE,TRUE
0d463a36859fe3a2006c8dbb5c1ab0818c5d7c2b,java,c++,,,,,,,TRUE,TRUE,TRUE
db2445ad244fd9fefe02900fc99e47aafddbfe52,c++,java,,,,,,,TRUE,TRUE,TRUE
398d72fa614b809cc4df153092e0665b57b170d2,c++,java,,,,,,,TRUE,TRUE,TRUE
dbdaa4662e4ac54c9972af26201d47ef3ab5b6cd,c++,java,,,,,,,TRUE,TRUE,TRUE
57fcdc264aa0f2bb481fdad9d4a1a7846395c6e1,c/c++,java,,,,,,,TRUE,TRUE,TRUE
9a456fba2088f2bd66a5b319c630300ea6da2aba,java,c++,,,,,,,TRUE,TRUE,TRUE
3a408eeae95614150ac930fc7f244524ed8c6f1c,c++,java,,,,,,,TRUE,TRUE,TRUE
b39006e3db598cd6f95e34c05bb19e6fc04bb24c,java,c++,,,,,,,TRUE,TRUE,TRUE
31e7e7fe8455c8af5f0e6b323873e96594d09019,java,c++,,,,,,,TRUE,TRUE,TRUE
22d88e24db012639eeafcaa7fa26ab01eb56f952,c++,java,,,,,,,TRUE,TRUE,TRUE
e697da0b18897ab0e68f1fced8ea029cf080b5af,c++,java,,,,,,,TRUE,TRUE,TRUE
4d02bfa3a6af32b6ed69e790dd1485433a8fba18,c++,java,,,,,,,TRUE,TRUE,TRUE
da0887a3dc9d747ee745a23387bfb52c89b1e19d,java,c++,,,,,,,TRUE,TRUE,TRUE
76e8beeeb9b3172a1e02853e4c5c7485894b7e04,c++,java,,,,,,,TRUE,TRUE,TRUE
0806801dc848a219dba3ea21ed1442348abf12fd,c++,java,,,,,,,TRUE,TRUE,TRUE
18004d2f202712546d8769c0b666aae63c60d7d7,java,c++,,,,,,,TRUE,TRUE,TRUE
e84137c8ae84a71ddd83fae981760046dbd7ae44,c++,java,,,,,,,TRUE,TRUE,TRUE
ca87aef82ddcdb1eb808a036c3632974834fbf1a,c++,java,,,,,,,TRUE,TRUE,TRUE
699e1b5edee6ad913b7e9a93b6b3863f77cf7e75,c++,java,,,,,,,TRUE,TRUE,TRUE
78cb6b611295ab7e5d1adc9b1707355ef879bc63,c++,java,,,,,,,TRUE,TRUE,TRUE
f9813b853d86223cb98514f3102e199f04aad97b,c++,java,,,,,,,TRUE,TRUE,TRUE
d5585bb605824e33a47359714b04b7bf14c0a2f6,c++,java,,,,,,,TRUE,TRUE,TRUE
66f62e5c78a189c910424442b5634467dd609530,java,c++,,,,,,,TRUE,TRUE,TRUE
a5e851e113ba66fd82b651fd0d3b13750fb75a55,c++,java,,,,,,,TRUE,TRUE,TRUE
b878f93c701e66931f88de99efdc01c8988721dd,c++,java,,,,,,,TRUE,TRUE,TRUE
80afa8490371ad50d65e10063fc576a7839e7628,c++,java,,,,,,,TRUE,TRUE,TRUE
391f85fc8252339800cd51716ae7eacf42b8b971,java,c++,,,,,,,TRUE,TRUE,TRUE
859c54a03d65ca8a232aa5794b835eb368b569d3,java,c++,,,,,,,TRUE,TRUE,TRUE
5ff8aec4db7534a2e6ab1118d824ce021b897fc0,java,c++,,,,,,,TRUE,TRUE,TRUE
ca47da9e6338f76b7fc1e1345d798cd2199487f2,java,c++,,,,,,,TRUE,TRUE,TRUE
e3b1e3dfa67cc303245247e5e512be5682ff92d2,c++,java,,,,,,,TRUE,TRUE,TRUE
8fb4751d504379c8316fada9d647cce328daf37c,java,c++,,,,,,,TRUE,TRUE,TRUE
5f65dc877806f8d60d64144ddee9023b178c2d50,c++,java,,,,,,,TRUE,TRUE,TRUE
98cb501bc0a5611405d60e79c6b31d61967098a2,c++,java,,,,,,,TRUE,TRUE,TRUE
2d0dd8db3b6b721eeb6ba42f23bf6ff722c1d31e,java,c++,,,,,,,TRUE,TRUE,TRUE
24bceb09636df45a0240dc0ab592054c4d218c31,c++,java,,,,,,,TRUE,TRUE,TRUE
ef5b34dee0fe7276b893a536a68d15e089f79657,java,c++,,,,,,,TRUE,TRUE,TRUE
18285c1e2f2c5488e18867777ac9c7fea96e142d,c++,c,php,,,,,,TRUE,FALSE,FALSE
ee221d2de0315f933282eb663597136d75d727c8,c++,php,,,,,,,TRUE,FALSE,FALSE
26ac24f1998c3e683efdca633c91cb69a1200b49,yaml,c++,,,,,,,TRUE,FALSE,FALSE
767777c2bd7bf4be1968dbc35452e556e781ad5f,c++,c,,,,,,,TRUE,FALSE,FALSE
167cdc9f17aedfd090cc937c7a2b35d4b51e6063,c++,python,,,,,,,TRUE,FALSE,FALSE
bafce61979de3e7ae4a5ada9f4e8a13a5b93b542,c++,javascript,,,,,,,TRUE,FALSE,FALSE
f059c7d9b96300091e07429a60f4ad55dac84859,python,c++,,,,,,,TRUE,FALSE,FALSE
534c255c7ab7ba73aaab1f82f8c1a92388eab00e,c++,java,,,,,,,TRUE,TRUE,TRUE
c2012d488fbacf99d5b937f6573df70afcdc75e7,c++,java,,,,,,,TRUE,TRUE,TRUE
1fe7a4c62f09d871a9e7fb359e8ff80fa0e09bda,java,c++,,,,,,,TRUE,TRUE,TRUE
9f7fc3ac45fad83fa49a93a67ef9651ac4401d02,c++,c,,,,,,,TRUE,FALSE,FALSE
f779e7a5d89f853fc5224f9eb8103ca2b8f2f555,c++,html,,,,,,,TRUE,FALSE,FALSE
cf0d6aa0070b73acc894b7ee8bef54c8f4538a06,yaml,c/c++,,,,,,,TRUE,FALSE,FALSE
3d00271e40ca909597559837b62e59cc385053be,c++,java,,,,,,,TRUE,TRUE,TRUE
fc12cb83f25476e38f7ded6458036895705c680c,java,c++,,,,,,,TRUE,TRUE,TRUE
a6fb7f312dcbe4357c2b9d097f3bef033f2c659f,java,c++,,,,,,,TRUE,TRUE,TRUE
188bb2e7ad2c8eaf6e203fc53071001a9697f087,c++,java,,,,,,,TRUE,TRUE,TRUE
e002a6122fdcd2508a7fa14e1ef82659cebc1019,java,c++,,,,,,,TRUE,TRUE,TRUE
00d58a370eb59a002b21d827e1710c1b437c9e6e,python,c++,,,,,,,TRUE,FALSE,FALSE
77d5ba78879ab90d93a5ff2373c0be3ff8153d5d,c++,python,,,,,,,TRUE,FALSE,FALSE
85584d497e7b354853b72f450683d59fcf6b9c5c,c++,c,html,,,,,,TRUE,FALSE,FALSE
69d5262c8114e0c0103fe576d02ab5b7489d4756,c++,java,,,,,,,TRUE,TRUE,TRUE
37fd2b9694052323d5867f1dc56174202023c016,c++,python,,,,,,,TRUE,FALSE,FALSE
670a916d01eaaea284bb6e0768ceacd23b8442a5,c++,python,,,,,,,TRUE,FALSE,FALSE
edaaa1fff2c0da2a0b131fb09f9c8dc27518fb47,c++,c,,,,,,,TRUE,FALSE,FALSE
3160edfdc794e79195ad22a6620de5791be4bc6a,c++,python,,,,,,,TRUE,FALSE,FALSE
34a40bf911a3418c9f8564a70e967433b1697982,python,c++,,,,,,,TRUE,FALSE,FALSE
2afea29762a214f099e1e4749b04839646657478,c++,python,,,,,,,TRUE,FALSE,FALSE
a6538571788f52b87a3ca83667b8634ee4950f54,c++,python,,,,,,,TRUE,FALSE,FALSE
4b97812da8a9fd7f5d84b6b4b21ee701a5e9a873,c++,python,,,,,,,TRUE,FALSE,FALSE
54f9092b0c12d99971f340e180d42fffc9f73bc1,c++,python,,,,,,,TRUE,FALSE,FALSE
9320ffd67a4b67d1c0ff4f94557ff37d508200b2,yaml,php,c++,,,,,,TRUE,FALSE,FALSE
84ddbd186a6f52b1a26e4ad547ac87c2fa172e16,yaml,php,,,,,,,FALSE,FALSE,FALSE
6c4e110c8cd04588c40ea646b57b48e433a7c482,c++,c,,,,,,,TRUE,FALSE,FALSE
e9e0101ca46f00e8a456e69912a913d907be56fc,python,c++,,,,,,,TRUE,FALSE,FALSE
6e78fe3c8d35fa1c0836af4501e0f272bc363bab,python,c++,,,,,,,TRUE,FALSE,FALSE
3231a2e58121f3f02fb11e279ee40f8982570b1c,c++,java,,,,,,,TRUE,TRUE,TRUE
6ec6a4a9a49e506eff76aebd104d30be6a2d36cc,c++,python,,,,,,,TRUE,FALSE,FALSE
bc8b05cb779a578b5f5acf8d9390af1d17e65ff5,python,c++,,,,,,,TRUE,FALSE,FALSE
dd2a35f13f53304b2e62b41d3fe501dd8473ea51,python,c++,,,,,,,TRUE,FALSE,FALSE
c364eb42b5fde3bf501e04c5a23f32c99ec4465c,powershell,c++,,,,,,,TRUE,FALSE,FALSE
714c63c5840c8ec85b226db5750bd6723aa38561,python,c++,,,,,,,TRUE,FALSE,FALSE
434ccf2df4ead37156edc4b45071c17c7fbad3b3,python,c++,,,,,,,TRUE,FALSE,FALSE
679a45d0cbf4005b7a990a7c59f072c0499ece78,python,c++,,,,,,,TRUE,FALSE,FALSE
8c252046334837cdd75d3d8edb1ee313d76ab333,python,c++,,,,,,,TRUE,FALSE,FALSE
7497f992e0e532935e68902fefc3032b7f271622,python,c++,,,,,,,TRUE,FALSE,FALSE
4b0a43574a64a07a193918725831f0ed244f28bc,python,c++,,,,,,,TRUE,FALSE,FALSE
02dab3be11b9c331fe18ad4f85246071281c0402,python,c++,,,,,,,TRUE,FALSE,FALSE
5ba028c179701843a3c3e1d0b10919c04c233912,python,c++,,,,,,,TRUE,FALSE,FALSE
db36f222d873b8a4b8881e55d6feb048a82edb87,python,c++,,,,,,,TRUE,FALSE,FALSE
6a40ee5eb1f3179ad7e56a60d27feeacfcfa4d0c,c++,python,,,,,,,TRUE,FALSE,FALSE
0f5cbcd7988a58b4cc81213612be80e46df1fdc3,java,c++,,,,,,,TRUE,TRUE,TRUE
56563674166e27ad0e1cc53f5e6c21ad9707ac7f,c,c++,,,,,,,TRUE,FALSE,FALSE
e11bdf1935bc5a46db790ef414110149009f8c6a,c++,html,,,,,,,TRUE,FALSE,FALSE
8d2b74d287692dc7d500b2e958c5f37b9750aac4,python,c++,,,,,,,TRUE,FALSE,FALSE
2f1ca4e838b30fc9f402b26b7142b9d564a27a83,c++,c,java,,,,,,TRUE,TRUE,TRUE
e5a1372b240a7798fb6e19cacf45fca38f6e9418,yaml,powershell,,,,,,,FALSE,FALSE,FALSE
9634ba42ac89391c498d4abcee138e0d6b1e315f,c++,python,,,,,,,TRUE,FALSE,FALSE
682db81385cc8a80973bfb3d87e4f8d290bf6f26,c++,php,,,,,,,TRUE,FALSE,FALSE
7f3a634e0698a586e6b610b1c169659d93221fae,python,c++,,,,,,,TRUE,FALSE,FALSE
c8267120d809551d1de99f518c1a7b453fad20c0,python,c++,,,,,,,TRUE,FALSE,FALSE
d4a8423334092e9f1e5aff2f911f02d5ca599b5e,c++,html,python,,,,,,TRUE,FALSE,FALSE
843d2e3137ea02e59ae9019abc4d7a90c809c76d,c++,c,,,,,,,TRUE,FALSE,FALSE
299ccedfeca1fb3497978c288e76008a5c08e899,c++,html,,,,,,,TRUE,FALSE,FALSE
4463b11cad36b2d8216e7ddb887a5fde07587828,c,c++,python,,,,,,TRUE,FALSE,FALSE
da7990950787257cb312ca562ce5977749afc3e9,c++,html,,,,,,,TRUE,FALSE,FALSE
6908e24b5636fc458c450e713928c4ec2b76e0d3,c++,java,,,,,,,TRUE,TRUE,TRUE
ea9e0757ffc0f7d298f726736b1286346491b781,yaml,html,,,,,,,FALSE,FALSE,FALSE
a4f9b8b49ee9a586c7cfdccc5ff7e8bf888b5634,c,c++,,,,,,,TRUE,FALSE,FALSE
a21cb22ee3a83cb78ad0851e5ba56e473cccbf64,c++,c,java,,,,,,TRUE,TRUE,TRUE
b76398a82bde58bfcfa3ed5ba3dbfb6168c241de,c++,c,java,,,,,,TRUE,TRUE,TRUE
5945e16dfc6e99522c607841cfd387eebed256fc,c++,java,,,,,,,TRUE,TRUE,TRUE
8585059ae0edce25efe705ac2075efe2cb1aa35f,python,c++,,,,,,,TRUE,FALSE,FALSE
8e63cad078503941530b1c8278dbef32d0027255,yaml,c++,,,,,,,TRUE,FALSE,FALSE
2bcaf8246b8c423fa9c76820af98acb9ed579151,yaml,html,,,,,,,FALSE,FALSE,FALSE
a0ebec3804451e1aebda56b51dec82d6d900c5b1,python,c++,,,,,,,TRUE,FALSE,FALSE
